Item_ID,รายการสินค้า,จำนวน,มูลค่าต่อหน่วย,มูลค่ารวม
42,สมุดโน้ต,1216,3432.8,4174284.64
43,ดินสอ,727,4563.81,3317887.77
44,ปากกาลูกลื่น,4237,4263.3,18063612.82
45,สมุดโน้ต,565,2595.38,1466388.81
46,สมุดโน้ต,2440,3429.42,8367773.83
47,003 / เครื่องฟอกอากาศ,2003,4461.42,8936221.46
48,003 / เครื่องฟอกอากาศ,3072,2583.15,7935448.69
49,ปากกาลูกลื่น,2722,2553.46,6950515.75
50,สมุดโน้ต,2953,2759.99,8150254.29
51,สมุดโน้ต,1532,14.08,21568.47
52,003 / เครื่องฟอกอากาศ,1370,2934.16,4019797.2
53,ดินสอ,2595,982.12,2548601.76
54,ยางลบ,447,2747.64,1228194.9
55,ดินสอ,43,1870.98,80452.23
56,ยางลบ,4053,4669.92,18927198.78
57,003 / เครื่องฟอกอากาศ,745,3857.14,2873566.98
58,ดินสอ,1140,933.96,1064716.14
59,ดินสอ,2823,1159.2,3272427.49
60,สมุดโน้ต,2411,1306.03,3148847.85
61,สมุดโน้ต,2275,3323.29,7560475.86
62,ยางลบ,2648,1067.25,2826082.95
63,สมุดโน้ต,2256,687.84,1551774.41
64,ยางลบ,809,233.27,188713.61
65,ยางลบ,3909,336.07,1313682.5
66,003 / เครื่องฟอกอากาศ,4642,4161.58,19318033.44
67,ยางลบ,629,1713.43,1077748.03
68,ยางลบ,4121,132.47,545890.81
69,ปากกาลูกลื่น,1333,410.52,547224.17
70,ยางลบ,2127,4649.04,9888516.98
71,สมุดโน้ต,623,4139.93,2579179.34
72,003 / เครื่องฟอกอากาศ,2728,614.69,1676865.87
73,ดินสอ,775,4139.81,3208354.28
74,003 / เครื่องฟอกอากาศ,2700,2918.14,7878983.57
75,003 / เครื่องฟอกอากาศ,535,4201.66,2247886.58
76,ดินสอ,4505,1794.41,8083807.62
77,ปากกาลูกลื่น,2611,710.88,1856104.96
78,สมุดโน้ต,2000,302.06,604111.58
79,003 / เครื่องฟอกอากาศ,1952,4053.68,7912776.48
80,003 / เครื่องฟอกอากาศ,2579,2297.77,5925959.92
81,ยางลบ,3899,142.43,555326.9
82,สมุดโน้ต,1991,2533.63,5044449.44
83,ยางลบ,3361,11.93,40089.97
84,สมุดโน้ต,4605,3364.12,15491759.21
85,003 / เครื่องฟอกอากาศ,4903,4214.29,20662652.38
86,ปากกาลูกลื่น,4780,722.92,3455545.0
87,ยางลบ,4412,2084.02,9194675.57
88,ดินสอ,1558,4446.84,6928181.72
89,ยางลบ,2115,2410.96,5099186.19
90,ดินสอ,998,10.94,10917.35
91,ปากกาลูกลื่น,4693,3392.15,15919361.85
92,ดินสอ,4835,1169.93,5656601.04
93,003 / เครื่องฟอกอากาศ,3623,1422.78,5154742.15
94,สมุดโน้ต,2746,3657.98,10044818.86
95,สมุดโน้ต,4059,2178.97,8844447.83
96,ยางลบ,2686,2274.26,6108653.76
97,ยางลบ,1466,14.47,21208.46
98,ดินสอ,4682,4260.69,19948573.34
99,003 / เครื่องฟอกอากาศ,3531,2683.35,9474899.64
100,ปากกาลูกลื่น,3289,4035.37,13272332.16
101,ยางลบ,407,1408.72,573348.7
102,003 / เครื่องฟอกอากาศ,4823,3921.31,18912464.06
103,ปากกาลูกลื่น,3800,1971.66,7492299.29
104,ดินสอ,1562,2784.88,4349980.17
105,ยางลบ,3239,3730.31,12082486.67
106,ดินสอ,3180,918.82,2921846.25
107,003 / เครื่องฟอกอากาศ,3490,2008.67,7010275.14
108,ปากกาลูกลื่น,4699,3805.52,17882127.9
109,สมุดโน้ต,357,3371.14,1203498.67
110,สมุดโน้ต,2193,3388.8,7431642.44
111,ดินสอ,3279,3816.81,12515334.47
112,ปากกาลูกลื่น,3750,3540.21,13275787.51
113,สมุดโน้ต,4895,2435.0,11919347.84
114,003 / เครื่องฟอกอากาศ,246,442.48,108849.18
115,ยางลบ,3930,3793.75,14909451.57
116,สมุดโน้ต,3945,289.1,1140500.67
117,สมุดโน้ต,3707,4207.86,15598543.71
118,ยางลบ,1547,3507.65,5426334.9
119,ดินสอ,1152,4628.69,5332252.62
120,สมุดโน้ต,4246,711.74,3022034.38
121,ยางลบ,3733,1097.52,4097033.86
122,ปากกาลูกลื่น,2899,2331.19,6758106.27
123,ดินสอ,2142,3127.31,6698690.61
124,003 / เครื่องฟอกอากาศ,315,4931.07,1553286.14
125,ดินสอ,461,2947.26,1358687.46
126,003 / เครื่องฟอกอากาศ,3497,2846.65,9954747.47
127,ปากกาลูกลื่น,2293,2385.24,5469349.69
128,ดินสอ,1442,2101.86,3030887.87
129,ปากกาลูกลื่น,1968,2648.33,5211910.87
130,ดินสอ,834,2682.5,2237206.54
131,003 / เครื่องฟอกอากาศ,3501,467.25,1635851.49
132,สมุดโน้ต,2977,3306.76,9844229.32
133,สมุดโน้ต,4180,4364.61,18244063.89
134,สมุดโน้ต,1677,3694.28,6195306.88
135,ดินสอ,3250,1177.38,3826485.22
136,สมุดโน้ต,4298,319.14,1371684.31
137,ปากกาลูกลื่น,4593,578.45,2656801.43
138,ดินสอ,1477,3711.31,5481609.7
139,ปากกาลูกลื่น,1446,4884.75,7063347.42
140,003 / เครื่องฟอกอากาศ,1709,173.11,295841.28
141,ปากกาลูกลื่น,2120,650.18,1378375.32
142,สมุดโน้ต,2195,3260.62,7157060.02
143,003 / เครื่องฟอกอากาศ,943,4474.96,4219887.08
144,ปากกาลูกลื่น,339,2660.65,901961.61
145,ดินสอ,1572,1924.9,3025939.3
146,ปากกาลูกลื่น,3043,2779.19,8457061.94
147,สมุดโน้ต,1815,2039.44,3701591.77
148,003 / เครื่องฟอกอากาศ,1308,4026.9,5267185.74
149,ปากกาลูกลื่น,2238,3615.85,8092267.94
150,ปากกาลูกลื่น,1743,972.48,1695037.63
151,สมุดโน้ต,3855,4624.94,17829145.64
152,สมุดโน้ต,4514,2649.18,11958408.47
153,003 / เครื่องฟอกอากาศ,1840,3102.83,5709203.39
154,สมุดโน้ต,156,1776.28,277099.95
155,ดินสอ,160,1531.81,245089.39
156,สมุดโน้ต,3775,72.67,274311.83
157,ยางลบ,4975,4461.58,22196368.53
158,003 / เครื่องฟอกอากาศ,146,4601.88,671874.45
159,ดินสอ,4546,3414.82,15523774.0
160,ดินสอ,737,2123.51,1565026.57
161,003 / เครื่องฟอกอากาศ,2504,3198.48,8008987.02
162,003 / เครื่องฟอกอากาศ,4310,4823.9,20791021.46
163,สมุดโน้ต,2011,4784.88,9622387.25
164,ยางลบ,3409,1703.4,5806880.92
165,ยางลบ,223,2229.79,497243.59
166,สมุดโน้ต,2952,2696.56,7960253.87
167,สมุดโน้ต,3896,839.46,3270547.06
168,ปากกาลูกลื่น,4187,1762.57,7379887.87
169,ปากกาลูกลื่น,2085,3689.34,7692270.78
170,003 / เครื่องฟอกอากาศ,46,2815.82,129527.54
171,ยางลบ,4742,3597.32,17058499.75
172,003 / เครื่องฟอกอากาศ,4665,221.78,1034581.02
173,003 / เครื่องฟอกอากาศ,3794,1002.47,3803357.7
174,ดินสอ,3279,1229.99,4033130.14
175,ยางลบ,621,3208.6,1992537.96
176,สมุดโน้ต,2715,3396.92,9222634.0
177,สมุดโน้ต,384,1038.75,398878.59
178,สมุดโน้ต,3513,1420.25,4989324.63
179,003 / เครื่องฟอกอากาศ,1226,424.44,520367.59
180,ดินสอ,4343,674.83,2930797.19
181,ยางลบ,1737,652.33,1133104.73
182,ปากกาลูกลื่น,298,4377.17,1304397.52
183,ปากกาลูกลื่น,3435,3127.85,10744167.52
184,ดินสอ,1026,3331.62,3418237.15
185,สมุดโน้ต,1778,3784.32,6728524.34
186,003 / เครื่องฟอกอากาศ,33,72.99,2408.75
187,ปากกาลูกลื่น,3149,2855.64,8992413.15
188,ยางลบ,2674,2610.79,6981258.49
189,ดินสอ,4679,1546.08,7234090.22
190,003 / เครื่องฟอกอากาศ,985,922.74,908895.25
191,ดินสอ,4014,1275.42,5119525.83
192,ปากกาลูกลื่น,1657,2362.72,3915032.89
193,ยางลบ,2435,2300.56,5601855.82
194,ยางลบ,634,4716.84,2990477.48
195,ยางลบ,475,794.54,377408.1
196,ยางลบ,4899,1071.53,5249421.02
197,ยางลบ,403,3234.48,1303494.05
198,ยางลบ,584,3268.29,1908681.73
199,สมุดโน้ต,2275,4416.18,10046800.17
200,ปากกาลูกลื่น,3477,1177.11,4092825.02
201,ปากกาลูกลื่น,3035,3007.75,9128512.79
202,ยางลบ,3881,61.7,239454.5
203,ปากกาลูกลื่น,2002,1149.0,2300290.08
204,ดินสอ,4474,1343.82,6012262.71
205,สมุดโน้ต,880,3588.77,3158119.23
206,ปากกาลูกลื่น,2201,4051.35,8917019.14
207,ยางลบ,467,2764.21,1290884.05
208,ยางลบ,2211,3637.95,8043512.93
209,ปากกาลูกลื่น,4618,190.56,880009.62
210,003 / เครื่องฟอกอากาศ,1251,4711.69,5894327.46
211,003 / เครื่องฟอกอากาศ,1269,1850.49,2348272.29
212,003 / เครื่องฟอกอากาศ,3839,3125.19,11997607.83
213,ดินสอ,2341,2858.14,6690913.73
214,ปากกาลูกลื่น,1170,427.37,500019.23
215,สมุดโน้ต,3430,4478.64,15361734.42
216,ดินสอ,1211,552.65,669261.6
217,ปากกาลูกลื่น,4984,3598.67,17935764.25
218,ปากกาลูกลื่น,195,2410.78,470102.7
219,ดินสอ,1020,3491.83,3561663.8
220,สมุดโน้ต,3277,4006.69,13129923.54
221,สมุดโน้ต,878,3611.73,3171102.19
222,สมุดโน้ต,4099,3676.27,15069043.26
223,003 / เครื่องฟอกอากาศ,3653,444.74,1624646.2
224,สมุดโน้ต,1287,1937.24,2493223.87
225,003 / เครื่องฟอกอากาศ,4562,19.5,88936.94
226,003 / เครื่องฟอกอากาศ,3469,1334.18,4628266.46
227,ดินสอ,3124,1838.37,5743054.8
228,ปากกาลูกลื่น,4870,2333.58,11364512.82
229,003 / เครื่องฟอกอากาศ,1382,932.75,1289057.55
230,ดินสอ,3680,1003.88,3694280.71
231,สมุดโน้ต,4309,2217.77,9556359.81
232,ปากกาลูกลื่น,3580,2830.33,10132588.86
233,ดินสอ,4460,4828.53,21535264.8
234,ดินสอ,559,2723.36,1522360.51
235,ปากกาลูกลื่น,2399,1188.04,2850110.21
236,ยางลบ,1673,2915.35,4877382.69
237,ดินสอ,3139,3499.84,10986004.42
238,สมุดโน้ต,1364,80.8,110208.13
239,ยางลบ,2432,1291.93,3141976.78
240,ปากกาลูกลื่น,3328,1301.59,4331698.62
241,003 / เครื่องฟอกอากาศ,1585,219.8,348384.62
242,ปากกาลูกลื่น,4194,1845.75,7741055.9
243,สมุดโน้ต,4452,448.56,1996992.65
244,ดินสอ,4671,1800.33,8409338.69
245,ดินสอ,4202,2220.38,9330049.97
246,ยางลบ,394,3931.09,1548849.68
247,003 / เครื่องฟอกอากาศ,625,2613.74,1633589.02
248,ยางลบ,4642,278.31,1291934.92
249,สมุดโน้ต,54,4264.84,230301.27
250,003 / เครื่องฟอกอากาศ,2952,1256.31,3708612.62
251,003 / เครื่องฟอกอากาศ,2081,3031.89,6309355.47
252,ยางลบ,3312,4131.78,13684444.23
253,สมุดโน้ต,1400,3311.74,4636440.65
254,ปากกาลูกลื่น,2971,3023.62,8983165.05
255,ยางลบ,3875,891.71,3455366.46
256,003 / เครื่องฟอกอากาศ,2921,1993.41,5822745.12
257,003 / เครื่องฟอกอากาศ,2383,1619.21,3858571.22
258,ดินสอ,761,1520.6,1157179.54
259,ปากกาลูกลื่น,2010,4179.22,8400222.26
260,003 / เครื่องฟอกอากาศ,1011,1139.63,1152166.83
261,ปากกาลูกลื่น,775,1427.18,1106063.34
262,สมุดโน้ต,127,1472.59,187018.67
263,ปากกาลูกลื่น,3357,3986.12,13381417.24
264,ยางลบ,3496,4028.85,14084847.78
265,ปากกาลูกลื่น,1617,4866.59,7869274.94
266,ยางลบ,824,3152.32,2597507.69
267,สมุดโน้ต,1435,4737.33,6798073.63
268,ยางลบ,4952,3176.1,15728050.97
269,003 / เครื่องฟอกอากาศ,2513,518.0,1301730.85
270,ยางลบ,342,3420.06,1169659.49
271,ยางลบ,3510,104.39,366421.25
272,สมุดโน้ต,1169,3531.15,4127913.57
273,ดินสอ,573,3954.98,2266204.76
274,003 / เครื่องฟอกอากาศ,1628,973.26,1584469.01
275,สมุดโน้ต,4982,1453.63,7241974.7
276,ดินสอ,3476,255.99,889833.01
277,003 / เครื่องฟอกอากาศ,1140,3075.37,3505927.33
278,ดินสอ,130,1185.14,154067.66
279,สมุดโน้ต,1315,2246.28,2953859.36
280,003 / เครื่องฟอกอากาศ,2889,999.46,2887448.34
281,ยางลบ,1690,2129.16,3598281.77
282,ดินสอ,4094,2385.14,9764768.16
283,ยางลบ,1947,590.35,1149409.97
284,สมุดโน้ต,1548,721.6,1117040.21
285,003 / เครื่องฟอกอากาศ,837,942.69,789029.49
286,ดินสอ,1996,2307.44,4605660.19
287,ดินสอ,369,2839.98,1047951.26
288,ปากกาลูกลื่น,2405,4304.34,10351939.77
289,003 / เครื่องฟอกอากาศ,279,2246.25,626703.78
290,ปากกาลูกลื่น,4465,3064.14,13681365.2
291,ปากกาลูกลื่น,3199,3379.3,10810387.01
292,003 / เครื่องฟอกอากาศ,3525,2238.44,7890487.79
293,ดินสอ,250,4104.62,1026154.86
294,ดินสอ,2086,529.56,1104652.42
295,ปากกาลูกลื่น,421,4199.47,1767976.63
296,ดินสอ,4813,4491.01,21615238.58
297,003 / เครื่องฟอกอากาศ,3254,4548.72,14801522.21
298,ยางลบ,2412,1760.84,4247154.41
299,ปากกาลูกลื่น,4052,355.21,1439308.68
300,ปากกาลูกลื่น,303,4097.37,1241502.6
301,ปากกาลูกลื่น,1720,321.07,552238.59
302,ปากกาลูกลื่น,1751,4931.57,8635185.81
303,ปากกาลูกลื่น,4859,32.71,158935.64
304,สมุดโน้ต,2150,1296.75,2788008.18
305,ยางลบ,4059,3734.46,15158181.66
306,ปากกาลูกลื่น,837,4814.41,4029664.42
307,ยางลบ,3990,830.84,3315046.36
308,003 / เครื่องฟอกอากาศ,1753,353.15,619076.4
309,ดินสอ,4958,598.36,2966655.73
310,ยางลบ,4098,3480.67,14263775.04
311,ดินสอ,4756,212.78,1011977.2
312,ยางลบ,525,3138.4,1647661.53
313,สมุดโน้ต,1541,2467.0,3801653.99
314,ปากกาลูกลื่น,2638,4638.02,12235098.59
315,ปากกาลูกลื่น,1008,2907.39,2930649.05
316,ปากกาลูกลื่น,642,4653.66,2987650.33
317,ดินสอ,1365,2778.75,3792992.09
318,ยางลบ,2386,1127.95,2691297.39
319,ปากกาลูกลื่น,3628,2278.05,8264779.39
320,สมุดโน้ต,1994,1140.46,2274073.13
321,ยางลบ,3815,3794.9,14477551.3
322,003 / เครื่องฟอกอากาศ,1630,3201.64,5218666.8
323,003 / เครื่องฟอกอากาศ,2416,2352.82,5684421.15
324,ดินสอ,1154,2849.68,3288535.64
325,ปากกาลูกลื่น,3009,982.68,2956883.93
326,ปากกาลูกลื่น,3806,381.05,1450258.87
327,ดินสอ,1107,2013.47,2228912.88
328,003 / เครื่องฟอกอากาศ,2131,1871.2,3987525.4
329,ปากกาลูกลื่น,4081,3186.53,13004229.17
330,ยางลบ,4883,1019.32,4977358.78
331,003 / เครื่องฟอกอากาศ,4730,2198.89,10400736.0
332,สมุดโน้ต,4997,3238.99,16185231.08
333,003 / เครื่องฟอกอากาศ,904,1915.11,1731261.25
334,003 / เครื่องฟอกอากาศ,3286,4683.69,15390597.89
335,ปากกาลูกลื่น,4893,4860.2,23780940.05
336,ยางลบ,3881,2061.05,7998921.29
337,003 / เครื่องฟอกอากาศ,2009,730.83,1468244.19
338,ยางลบ,1355,584.55,792060.36
339,ปากกาลูกลื่น,294,1872.47,550505.73
340,ดินสอ,2275,63.69,144902.67
341,ยางลบ,2245,1613.21,3621660.76
342,สมุดโน้ต,2644,3037.88,8032152.4
343,ปากกาลูกลื่น,2697,3154.5,8507681.08
344,ปากกาลูกลื่น,1092,4767.25,5205835.85
345,003 / เครื่องฟอกอากาศ,4194,2821.78,11834536.16
346,สมุดโน้ต,4827,4562.45,22022945.68
347,003 / เครื่องฟอกอากาศ,1076,1272.52,1369228.94
348,สมุดโน้ต,248,2770.71,687136.3
349,ยางลบ,2476,1921.33,4757207.33
350,ยางลบ,4764,2169.53,10335662.73
351,ปากกาลูกลื่น,2729,2405.81,6565446.32
352,ยางลบ,2360,4859.81,11469141.72
353,ดินสอ,1259,2659.44,3348239.43
354,สมุดโน้ต,2784,3983.57,11090251.89
355,ดินสอ,4144,3140.94,13016058.18
356,ยางลบ,413,161.41,66664.31
357,ดินสอ,3482,244.52,851414.15
358,ดินสอ,3694,3198.27,11814397.64
359,ดินสอ,4054,33.87,137307.18
360,ดินสอ,3118,4423.4,13792176.71
361,ดินสอ,3919,2085.54,8173245.43
362,ดินสอ,1936,3384.79,6552948.62
363,003 / เครื่องฟอกอากาศ,3292,2488.18,8191074.18
364,สมุดโน้ต,4057,2582.32,10476461.11
365,ดินสอ,2525,607.92,1535002.77
366,ปากกาลูกลื่น,3748,361.38,1354437.54
367,สมุดโน้ต,4950,4055.54,20074917.05
368,003 / เครื่องฟอกอากาศ,1445,2311.43,3340018.76
369,ดินสอ,4642,617.68,2867259.58
370,ดินสอ,1020,2517.93,2568286.3
371,ดินสอ,3221,3502.24,11280728.25
372,ยางลบ,1342,2630.11,3529602.8
373,003 / เครื่องฟอกอากาศ,1742,1161.91,2024051.39
374,ปากกาลูกลื่น,696,3599.17,2505024.17
375,ดินสอ,346,3003.6,1039247.29
376,003 / เครื่องฟอกอากาศ,3257,2550.77,8307867.7
377,003 / เครื่องฟอกอากาศ,81,3300.2,267316.43
378,ยางลบ,635,227.51,144468.43
379,ปากกาลูกลื่น,2885,724.17,2089242.48
380,สมุดโน้ต,4154,2200.21,9139687.44
381,ยางลบ,4347,773.89,3364099.12
382,ยางลบ,2255,4542.47,10243267.04
383,ดินสอ,2425,571.22,1385203.92
384,สมุดโน้ต,2368,3408.18,8070561.16
385,ดินสอ,2178,1326.97,2890142.55
386,สมุดโน้ต,93,4666.79,434011.92
387,สมุดโน้ต,3755,3868.86,14527582.41
388,ปากกาลูกลื่น,460,1788.37,822650.85
389,ดินสอ,1905,3054.42,5818662.24
390,ดินสอ,906,4839.65,4384726.77
391,ดินสอ,758,1550.75,1175467.87
392,ยางลบ,1157,3017.7,3491483.72
393,ปากกาลูกลื่น,4942,4557.43,22522832.9
394,003 / เครื่องฟอกอากาศ,622,3019.0,1877818.28
395,ดินสอ,4362,4561.03,19895225.34
396,ดินสอ,793,745.47,591159.87
397,ยางลบ,4886,442.02,2159687.27
398,สมุดโน้ต,1901,3017.46,5736195.26
399,ดินสอ,4900,2072.52,10155343.14
400,สมุดโน้ต,1949,1834.1,3574659.84
401,ดินสอ,3212,4907.11,15761639.37
402,003 / เครื่องฟอกอากาศ,2981,1676.17,4996669.63
403,ปากกาลูกลื่น,2206,3171.2,6995660.63
404,ดินสอ,2675,4264.05,11406324.68
405,ดินสอ,1238,2449.25,3032173.71
406,ดินสอ,1836,3068.74,5634201.36
407,ปากกาลูกลื่น,2423,1669.57,4045363.06
408,003 / เครื่องฟอกอากาศ,4429,4516.17,20002123.47
409,ปากกาลูกลื่น,1251,2963.15,3706903.09
410,ปากกาลูกลื่น,3369,143.73,484215.88
411,สมุดโน้ต,1299,1641.99,2132938.7
412,สมุดโน้ต,3667,4084.19,14976740.86
413,สมุดโน้ต,2861,1794.4,5133764.18
414,ปากกาลูกลื่น,4649,218.86,1017461.31
415,ยางลบ,4435,3857.23,17106801.54
416,ดินสอ,934,2698.48,2520381.61
417,ปากกาลูกลื่น,2224,2292.67,5098893.32
418,003 / เครื่องฟอกอากาศ,3255,4337.34,14118037.28
419,สมุดโน้ต,3632,3637.93,13212966.36
420,สมุดโน้ต,2199,3309.01,7276513.69
421,003 / เครื่องฟอกอากาศ,580,177.38,102879.3
422,ปากกาลูกลื่น,668,921.68,615683.59
423,ยางลบ,696,1731.01,1204779.57
424,ปากกาลูกลื่น,3003,2956.14,8877292.55
425,ดินสอ,1088,3392.5,3691045.35
426,ปากกาลูกลื่น,2521,4026.37,10150490.69
427,003 / เครื่องฟอกอากาศ,4046,1968.5,7964558.27
428,สมุดโน้ต,4678,779.06,3644420.34
429,ดินสอ,3992,1280.88,5113277.68
430,สมุดโน้ต,1888,1185.47,2238166.34
431,003 / เครื่องฟอกอากาศ,3821,1039.3,3971176.04
432,ยางลบ,3142,1552.84,4879012.33
433,สมุดโน้ต,1995,671.4,1339437.69
434,ปากกาลูกลื่น,4740,2967.24,14064730.8
435,003 / เครื่องฟอกอากาศ,276,1178.9,325376.05
436,ดินสอ,2016,4106.97,8279650.68
437,003 / เครื่องฟอกอากาศ,613,3258.23,1997295.23
438,003 / เครื่องฟอกอากาศ,151,4048.6,611338.3
439,003 / เครื่องฟอกอากาศ,4275,2167.41,9265695.42
440,003 / เครื่องฟอกอากาศ,3700,3358.91,12427973.9
441,ยางลบ,1076,3504.79,3771157.07
442,ดินสอ,212,1048.76,222336.23
443,ปากกาลูกลื่น,4899,4516.2,22124866.46
444,003 / เครื่องฟอกอากาศ,4392,1922.76,8444759.98
445,003 / เครื่องฟอกอากาศ,656,3857.96,2530819.97
446,ดินสอ,864,730.48,631132.01
447,สมุดโน้ต,2476,3251.0,8049474.57
448,สมุดโน้ต,4909,3957.07,19425250.79
449,003 / เครื่องฟอกอากาศ,4582,3937.98,18043823.13
450,ปากกาลูกลื่น,3562,2336.15,8321364.52
451,ยางลบ,2270,910.73,2067365.83
452,003 / เครื่องฟอกอากาศ,2411,1685.19,4062997.97
453,สมุดโน้ต,981,1266.03,1241971.74
454,003 / เครื่องฟอกอากาศ,4342,1184.6,5143514.25
455,ยางลบ,3749,3169.05,11880755.63
456,ปากกาลูกลื่น,3074,3929.35,12078815.96
457,สมุดโน้ต,470,4968.88,2335371.94
458,ปากกาลูกลื่น,3158,2989.83,9441893.52
459,003 / เครื่องฟอกอากาศ,659,4783.88,3152573.95
460,003 / เครื่องฟอกอากาศ,337,3076.28,1036705.68
461,003 / เครื่องฟอกอากาศ,1426,4975.58,7095173.29
462,ปากกาลูกลื่น,1068,4672.33,4990044.32
463,003 / เครื่องฟอกอากาศ,1396,4538.91,6336317.47
464,ดินสอ,2445,479.04,1171248.01
465,ดินสอ,1940,326.02,632482.1
466,ยางลบ,305,4099.13,1250235.88
467,ปากกาลูกลื่น,1282,4518.39,5792570.51
468,003 / เครื่องฟอกอากาศ,3748,554.74,2079156.2
469,003 / เครื่องฟอกอากาศ,4379,4702.75,20593337.58
470,ดินสอ,2228,788.09,1755860.92
471,003 / เครื่องฟอกอากาศ,1520,4929.58,7492955.2
472,ปากกาลูกลื่น,4529,3369.22,15259182.11
473,ยางลบ,2796,3242.38,9065690.06
474,สมุดโน้ต,891,4108.32,3660510.07
475,สมุดโน้ต,2381,3725.98,8871556.03
476,ดินสอ,4026,3830.45,15421377.51
477,สมุดโน้ต,1839,919.15,1690320.42
478,ยางลบ,1967,1790.97,3522842.88
479,003 / เครื่องฟอกอากาศ,1987,2102.42,4177502.66
480,003 / เครื่องฟอกอากาศ,2986,4496.31,13425981.47
481,ยางลบ,3698,3741.86,13837387.98
482,ยางลบ,1062,2828.35,3003703.32
483,สมุดโน้ต,4592,1358.08,6236321.59
484,สมุดโน้ต,2382,3399.49,8097578.38
485,003 / เครื่องฟอกอากาศ,1132,2094.86,2371380.87
486,ดินสอ,3223,1310.85,4224885.54
487,ดินสอ,2010,663.9,1334431.65
488,ปากกาลูกลื่น,3394,4194.2,14235106.42
489,ปากกาลูกลื่น,2845,1578.0,4489413.36
490,สมุดโน้ต,3881,3373.77,13093599.36
491,ยางลบ,1,4262.73,4262.73
492,ปากกาลูกลื่น,4703,3408.16,16028576.04
493,003 / เครื่องฟอกอากาศ,429,564.9,242343.93
494,สมุดโน้ต,1480,447.73,662639.9
495,ปากกาลูกลื่น,2841,4011.63,11397042.7
496,ดินสอ,3127,235.96,737851.11
497,003 / เครื่องฟอกอากาศ,2224,4273.82,9504985.79
498,ปากกาลูกลื่น,1316,3010.57,3961911.11
499,สมุดโน้ต,1826,3426.55,6256879.29
500,สมุดโน้ต,139,4065.81,565147.92
501,สมุดโน้ต,4848,3893.22,18874318.9
502,สมุดโน้ต,190,1215.47,230938.82
503,003 / เครื่องฟอกอากาศ,2419,1175.41,2843317.28
504,ดินสอ,173,1157.59,200262.33
505,ปากกาลูกลื่น,677,4219.73,2856756.34
506,003 / เครื่องฟอกอากาศ,3096,1510.77,4677352.73
507,003 / เครื่องฟอกอากาศ,1970,3875.42,7634587.24
508,ดินสอ,4251,1894.74,8054522.34
509,ปากกาลูกลื่น,4859,382.96,1860807.93
510,สมุดโน้ต,2923,4485.11,13109979.95
511,ยางลบ,13,1882.15,24468.01
512,ดินสอ,371,753.64,279598.92
513,สมุดโน้ต,4207,4543.14,19112991.41
514,003 / เครื่องฟอกอากาศ,1833,4038.77,7403061.49
515,สมุดโน้ต,2229,1214.59,2707330.99
516,ยางลบ,4736,2895.34,13712311.29
517,ยางลบ,386,2581.27,996368.54
518,ดินสอ,1801,1124.01,2024333.29
519,ปากกาลูกลื่น,139,4786.45,665316.88
520,ดินสอ,4321,1137.63,4915713.3
521,สมุดโน้ต,2255,3034.87,6843634.51
522,ปากกาลูกลื่น,4171,4285.78,17875983.7
523,003 / เครื่องฟอกอากาศ,3372,1278.65,4311621.0
524,003 / เครื่องฟอกอากาศ,4305,4489.14,19325761.02
