documentDate,Date,documentNo,billTName,dueDate,product,productQuantity,totalPrice,Price per unit,productCost,Cost per unit,grossProfit,unit,lotNo
2020-01-08,2020-01-08,DO-0003/1320,ลูกค้าสัญญา,2020-02-21,สินค้า_10,214,754870.58,3527.43,532141.76,2486.64,29.51,PKG : แพ็ค,
2020-01-08,2020-01-08,DO-0011/9382,ลูกค้าต่างประเทศ,2020-04-24,สินค้า_5,502,670582.28,1335.82,411478.27,819.68,38.64,UNIT : ขวด,
2020-01-08,2020-01-08,DO-0010/2453,ลูกค้าต่างประเทศ,2020-05-16,สินค้า_5,261,1223949.03,4689.46,900206.89,3449.07,26.45,G : กรัม,
2020-01-08,2020-01-08,DO-0003/3629,ลูกค้าเงินสด,2020-07-12,สินค้า_7,748,664116.31,887.86,569046.63,760.76,14.32,PKG : แพ็ค,
2020-01-09,2020-01-09,DO-0011/0935,ลูกค้าต่างประเทศ,2020-08-30,สินค้า_4,889,3927145.47,4417.49,2541898.67,2859.28,35.27,UNIT : ขวด,
2020-01-09,2020-01-09,DO-0009/0764,ลูกค้าเงินสด,2020-03-25,สินค้า_10,105,475872.25,4532.12,413471.61,3937.82,13.11,UNIT : ขวด,
2020-01-09,2020-01-09,DO-0004/2238,ลูกค้าเงินสด,2020-11-13,สินค้า_2,430,482384.56,1121.82,421066.2,979.22,12.71,G : กรัม,
2020-01-09,2020-01-09,DO-0008/6302,ลูกค้าสัญญา,2020-03-29,สินค้า_4,361,151124.48,418.63,121829.35,337.48,19.38,PKG : แพ็ค,
2020-01-09,2020-01-09,DO-0009/9917,ลูกค้าสัญญา,2020-12-09,สินค้า_3,949,2207531.83,2326.17,1497748.36,1578.24,32.15,UNIT : ขวด,
2020-01-09,2020-01-09,DO-0008/0111,ลูกค้าสัญญา,2020-08-30,สินค้า_10,827,2389976.08,2889.93,2026294.57,2450.17,15.22,G : กรัม,
2020-01-10,2020-01-10,DO-0005/4603,ลูกค้าสัญญา,2020-09-19,สินค้า_10,928,1603821.6,1728.26,1036076.45,1116.46,35.4,G : กรัม,
2020-01-10,2020-01-10,DO-0003/7875,ลูกค้าเงินสด,2020-06-15,สินค้า_8,225,42735.0,189.93,27203.51,120.9,36.34,PKG : แพ็ค,
2020-01-10,2020-01-10,DO-0011/0147,ลูกค้าเงินสด,2020-03-20,สินค้า_8,643,2855787.76,4441.35,2306636.0,3587.3,19.23,UNIT : ขวด,
2020-01-10,2020-01-10,DO-0005/4622,ลูกค้าเงินสด,2020-01-14,สินค้า_9,887,464535.59,523.72,351541.98,396.33,24.32,PKG : แพ็ค,
2020-01-10,2020-01-10,DO-0011/8986,ลูกค้าเงินสด,2020-01-18,สินค้า_8,776,858403.64,1106.19,756412.74,974.76,11.88,UNIT : ขวด,
2020-01-11,2020-01-11,DO-0008/8841,ลูกค้าเงินสด,2020-04-22,สินค้า_8,276,915551.21,3317.21,753117.71,2728.69,17.74,UNIT : ขวด,
2020-01-11,2020-01-11,DO-0003/0195,ลูกค้าสัญญา,2020-08-11,สินค้า_6,121,548978.56,4537.01,393924.42,3255.57,28.24,G : กรัม,
2020-01-11,2020-01-11,DO-0005/0587,ลูกค้าสัญญา,2020-10-08,สินค้า_9,704,703531.03,999.33,456913.28,649.02,35.05,PKG : แพ็ค,
2020-01-11,2020-01-11,DO-0012/1731,ลูกค้าต่างประเทศ,2020-11-02,สินค้า_1,364,1273798.08,3499.45,817093.26,2244.76,35.85,UNIT : ขวด,
2020-01-11,2020-01-11,DO-0007/7995,ลูกค้าสัญญา,2020-07-08,สินค้า_9,609,2053035.69,3371.16,1757162.77,2885.32,14.41,UNIT : ขวด,
2020-01-11,2020-01-11,DO-0002/4125,ลูกค้าเงินสด,2020-03-05,สินค้า_10,529,2400027.57,4536.91,1914181.33,3618.49,20.24,G : กรัม,
2020-01-12,2020-01-12,DO-0003/7156,ลูกค้าสัญญา,2020-07-29,สินค้า_7,668,1720525.09,2575.64,1188418.18,1779.07,30.93,G : กรัม,
2020-01-12,2020-01-12,DO-0008/4445,ลูกค้าสัญญา,2020-10-09,สินค้า_7,462,2245217.07,4859.78,1406139.62,3043.59,37.37,UNIT : ขวด,
2020-01-12,2020-01-12,DO-0012/1977,ลูกค้าต่างประเทศ,2020-02-20,สินค้า_8,84,394069.09,4691.3,346973.49,4130.64,11.95,PKG : แพ็ค,
2020-01-12,2020-01-12,DO-0005/9509,ลูกค้าเงินสด,2020-01-22,สินค้า_1,853,690522.37,809.52,520984.96,610.77,24.55,UNIT : ขวด,
2020-01-12,2020-01-12,DO-0002/1126,ลูกค้าสัญญา,2020-04-13,สินค้า_9,106,203269.13,1917.63,122891.51,1159.35,39.54,G : กรัม,
2020-01-13,2020-01-13,DO-0003/0506,ลูกค้าเงินสด,2020-09-15,สินค้า_1,298,1003964.37,3369.01,893466.59,2998.21,11.01,G : กรัม,
2020-01-13,2020-01-13,DO-0001/9949,ลูกค้าเงินสด,2020-10-19,สินค้า_3,305,1106901.08,3629.18,964315.34,3161.69,12.88,UNIT : ขวด,
2020-01-13,2020-01-13,DO-0005/6961,ลูกค้าต่างประเทศ,2020-03-11,สินค้า_7,925,2798465.38,3025.37,2391306.43,2585.2,14.55,UNIT : ขวด,
2020-01-13,2020-01-13,DO-0006/8316,ลูกค้าเงินสด,2020-10-03,สินค้า_3,234,17189.85,73.46,12479.75,53.33,27.4,G : กรัม,
2020-01-13,2020-01-13,DO-0001/4292,ลูกค้าเงินสด,2020-10-04,สินค้า_2,741,1566456.62,2113.98,1404751.7,1895.75,10.32,UNIT : ขวด,
2020-01-13,2020-01-13,DO-0001/5464,ลูกค้าเงินสด,2020-05-26,สินค้า_8,812,1409185.93,1735.45,1085348.01,1336.64,22.98,G : กรัม,
2020-01-14,2020-01-14,DO-0006/4242,ลูกค้าสัญญา,2020-07-30,สินค้า_1,698,1289243.22,1847.05,981631.04,1406.35,23.86,PKG : แพ็ค,
2020-01-14,2020-01-14,DO-0001/0825,ลูกค้าต่างประเทศ,2020-06-23,สินค้า_9,763,721555.29,945.68,488487.02,640.22,32.3,G : กรัม,
2020-01-14,2020-01-14,DO-0003/1848,ลูกค้าต่างประเทศ,2020-04-07,สินค้า_1,749,2275909.65,3038.6,2027589.91,2707.06,10.91,UNIT : ขวด,
2020-01-14,2020-01-14,DO-0007/4830,ลูกค้าต่างประเทศ,2020-08-24,สินค้า_4,793,1704429.93,2149.34,1412156.43,1780.78,17.15,PKG : แพ็ค,
2020-01-14,2020-01-14,DO-0006/5089,ลูกค้าสัญญา,2020-04-20,สินค้า_5,566,2804460.5,4954.88,2098903.53,3708.31,25.16,UNIT : ขวด,
2020-01-15,2020-01-15,DO-0012/0467,ลูกค้าต่างประเทศ,2020-06-02,สินค้า_5,112,196604.75,1755.4,153007.34,1366.14,22.18,UNIT : ขวด,
2020-01-15,2020-01-15,DO-0007/9128,ลูกค้าเงินสด,2020-09-09,สินค้า_1,612,1424388.54,2327.43,956475.87,1562.87,32.85,G : กรัม,
2020-01-15,2020-01-15,DO-0011/2863,ลูกค้าสัญญา,2020-12-18,สินค้า_2,722,3325002.65,4605.27,2604450.52,3607.27,21.67,G : กรัม,
2020-01-15,2020-01-15,DO-0012/3900,ลูกค้าเงินสด,2020-12-29,สินค้า_4,634,1303268.53,2055.63,1038772.23,1638.44,20.29,UNIT : ขวด,
2020-01-15,2020-01-15,DO-0005/1187,ลูกค้าสัญญา,2020-04-30,สินค้า_1,272,124164.39,456.49,86345.57,317.45,30.46,UNIT : ขวด,
2020-01-15,2020-01-15,DO-0009/8181,ลูกค้าเงินสด,2020-10-18,สินค้า_4,733,2996601.99,4088.13,2613673.0,3565.72,12.78,PKG : แพ็ค,
2020-01-16,2020-01-16,DO-0003/3084,ลูกค้าสัญญา,2020-10-01,สินค้า_6,886,99070.63,111.82,61999.99,69.98,37.42,PKG : แพ็ค,
2020-01-16,2020-01-16,DO-0004/1830,ลูกค้าสัญญา,2020-03-10,สินค้า_10,153,135768.99,887.38,102728.85,671.43,24.34,UNIT : ขวด,
2020-01-16,2020-01-16,DO-0009/8392,ลูกค้าต่างประเทศ,2020-02-12,สินค้า_5,234,201547.15,861.31,175151.75,748.51,13.1,UNIT : ขวด,
2020-01-16,2020-01-16,DO-0004/3077,ลูกค้าต่างประเทศ,2020-09-18,สินค้า_4,318,948137.26,2981.56,837660.61,2634.15,11.65,G : กรัม,
2020-01-16,2020-01-16,DO-0005/1636,ลูกค้าต่างประเทศ,2020-10-27,สินค้า_2,571,2218201.64,3884.77,1702470.91,2981.56,23.25,PKG : แพ็ค,
2020-01-17,2020-01-17,DO-0012/8637,ลูกค้าเงินสด,2020-12-30,สินค้า_1,251,742153.26,2956.79,494606.4,1970.54,33.36,PKG : แพ็ค,
2020-01-17,2020-01-17,DO-0003/7841,ลูกค้าเงินสด,2020-04-22,สินค้า_8,171,123723.43,723.53,87264.8,510.32,29.47,G : กรัม,
2020-01-17,2020-01-17,DO-0005/6617,ลูกค้าต่างประเทศ,2020-06-02,สินค้า_6,659,2119027.56,3215.52,1816117.17,2755.87,14.29,G : กรัม,
2020-01-17,2020-01-17,DO-0012/3819,ลูกค้าต่างประเทศ,2021-01-01,สินค้า_5,484,1263113.52,2609.74,805946.07,1665.18,36.19,G : กรัม,
2020-01-17,2020-01-17,DO-0011/5611,ลูกค้าสัญญา,2020-09-20,สินค้า_2,417,1374252.16,3295.57,1138229.44,2729.57,17.17,G : กรัม,
2020-01-17,2020-01-17,DO-0012/8538,ลูกค้าสัญญา,2020-03-16,สินค้า_6,933,3101136.81,3323.83,2039891.8,2186.38,34.22,UNIT : ขวด,
2020-01-18,2020-01-18,DO-0010/3843,ลูกค้าสัญญา,2020-07-19,สินค้า_8,816,2175841.16,2666.47,1808321.27,2216.08,16.89,G : กรัม,
2020-01-18,2020-01-18,DO-0009/4357,ลูกค้าต่างประเทศ,2020-09-20,สินค้า_10,476,105345.94,221.32,91705.58,192.66,12.95,UNIT : ขวด,
2020-01-18,2020-01-18,DO-0008/9107,ลูกค้าสัญญา,2020-04-07,สินค้า_6,719,327133.65,454.98,240601.95,334.63,26.45,PKG : แพ็ค,
2020-01-18,2020-01-18,DO-0002/0365,ลูกค้าสัญญา,2020-09-15,สินค้า_1,521,2276647.19,4369.76,1740248.08,3340.21,23.56,UNIT : ขวด,
2020-01-18,2020-01-18,DO-0009/0837,ลูกค้าสัญญา,2020-10-28,สินค้า_5,663,2927543.25,4415.6,2467479.91,3721.69,15.71,G : กรัม,
2020-01-19,2020-01-19,DO-0012/7932,ลูกค้าเงินสด,2020-09-09,สินค้า_10,320,819623.06,2561.32,622825.01,1946.33,24.01,G : กรัม,
2020-01-19,2020-01-19,DO-0009/4832,ลูกค้าสัญญา,2020-03-03,สินค้า_9,44,14277.14,324.48,9508.66,216.11,33.4,PKG : แพ็ค,
2020-01-19,2020-01-19,DO-0011/2202,ลูกค้าเงินสด,2020-05-14,สินค้า_3,645,915240.24,1418.98,643739.63,998.05,29.66,G : กรัม,
2020-01-19,2020-01-19,DO-0007/1183,ลูกค้าเงินสด,2020-06-16,สินค้า_7,811,1838037.66,2266.38,1247288.59,1537.96,32.14,PKG : แพ็ค,
2020-01-19,2020-01-19,DO-0011/1154,ลูกค้าเงินสด,2020-02-04,สินค้า_2,662,1474458.26,2227.28,1061012.42,1602.74,28.04,PKG : แพ็ค,
2020-01-19,2020-01-19,DO-0011/1426,ลูกค้าสัญญา,2020-08-24,สินค้า_1,747,1390437.74,1861.36,948189.5,1269.33,31.81,G : กรัม,
2020-01-20,2020-01-20,DO-0001/0569,ลูกค้าเงินสด,2020-04-21,สินค้า_7,646,1786401.14,2765.33,1359047.28,2103.79,23.92,G : กรัม,
2020-01-20,2020-01-20,DO-0010/0127,ลูกค้าเงินสด,2020-09-15,สินค้า_7,160,602067.38,3762.92,482939.29,3018.37,19.79,G : กรัม,
2020-01-20,2020-01-20,DO-0008/9959,ลูกค้าต่างประเทศ,2020-06-11,สินค้า_5,756,1739980.62,2301.56,1359808.07,1798.69,21.85,UNIT : ขวด,
2020-01-20,2020-01-20,DO-0003/5883,ลูกค้าต่างประเทศ,2020-07-03,สินค้า_5,428,1046723.43,2445.62,856128.38,2000.3,18.21,PKG : แพ็ค,
2020-01-20,2020-01-20,DO-0007/3300,ลูกค้าสัญญา,2020-10-12,สินค้า_3,502,1401139.5,2791.11,980950.23,1954.08,29.99,G : กรัม,
2020-01-21,2020-01-21,DO-0006/6982,ลูกค้าเงินสด,2020-05-15,สินค้า_7,982,1155443.89,1176.62,851024.19,866.62,26.35,PKG : แพ็ค,
2020-01-21,2020-01-21,DO-0012/6909,ลูกค้าต่างประเทศ,2020-05-11,สินค้า_3,422,1945040.1,4609.1,1176759.57,2788.53,39.5,UNIT : ขวด,
2020-01-21,2020-01-21,DO-0002/7385,ลูกค้าสัญญา,2020-08-08,สินค้า_4,578,75315.5,130.3,51380.16,88.89,31.78,UNIT : ขวด,
2020-01-21,2020-01-21,DO-0009/0347,ลูกค้าเงินสด,2020-12-10,สินค้า_10,177,721313.11,4075.22,561467.09,3172.13,22.16,PKG : แพ็ค,
2020-01-21,2020-01-21,DO-0001/6107,ลูกค้าสัญญา,2020-02-22,สินค้า_9,21,26071.46,1241.5,21998.54,1047.55,15.62,UNIT : ขวด,
2020-01-22,2020-01-22,DO-0009/0841,ลูกค้าต่างประเทศ,2020-03-14,สินค้า_9,303,729837.41,2408.7,538109.0,1775.94,26.27,UNIT : ขวด,
2020-01-22,2020-01-22,DO-0004/4862,ลูกค้าต่างประเทศ,2020-11-08,สินค้า_6,265,1155289.92,4359.58,881970.57,3328.19,23.66,PKG : แพ็ค,
2020-01-22,2020-01-22,DO-0003/7001,ลูกค้าต่างประเทศ,2020-11-12,สินค้า_7,948,4004590.32,4224.25,2481182.72,2617.28,38.04,UNIT : ขวด,
2020-01-22,2020-01-22,DO-0011/8800,ลูกค้าต่างประเทศ,2020-02-29,สินค้า_3,487,743936.14,1527.59,612486.39,1257.67,17.67,PKG : แพ็ค,
2020-01-22,2020-01-22,DO-0009/2228,ลูกค้าเงินสด,2020-12-01,สินค้า_8,342,833659.07,2437.6,596151.87,1743.13,28.49,PKG : แพ็ค,
2020-01-22,2020-01-22,DO-0009/2936,ลูกค้าต่างประเทศ,2020-11-14,สินค้า_4,564,922694.14,1635.98,557767.14,988.95,39.55,G : กรัม,
2020-01-23,2020-01-23,DO-0008/9032,ลูกค้าเงินสด,2020-11-25,สินค้า_1,240,391330.72,1630.54,264193.89,1100.81,32.49,PKG : แพ็ค,
2020-01-23,2020-01-23,DO-0004/4935,ลูกค้าสัญญา,2020-01-28,สินค้า_3,831,1894495.31,2279.78,1398160.96,1682.5,26.2,G : กรัม,
2020-01-23,2020-01-23,DO-0009/5716,ลูกค้าสัญญา,2020-03-19,สินค้า_2,631,1298100.72,2057.21,952938.97,1510.2,26.59,G : กรัม,
2020-01-23,2020-01-23,DO-0004/7343,ลูกค้าสัญญา,2020-03-24,สินค้า_1,596,2590252.24,4346.06,1903674.3,3194.08,26.51,G : กรัม,
2020-01-23,2020-01-23,DO-0007/7592,ลูกค้าเงินสด,2020-03-13,สินค้า_3,576,684588.23,1188.52,503478.41,874.09,26.46,UNIT : ขวด,
2020-01-24,2020-01-24,DO-0010/9164,ลูกค้าสัญญา,2020-04-27,สินค้า_2,389,713617.49,1834.49,478073.91,1228.98,33.01,G : กรัม,
2020-01-24,2020-01-24,DO-0006/3313,ลูกค้าสัญญา,2020-11-02,สินค้า_9,712,3534606.58,4964.34,2982480.14,4188.88,15.62,G : กรัม,
2020-01-24,2020-01-24,DO-0008/1945,ลูกค้าต่างประเทศ,2020-03-23,สินค้า_5,525,702069.82,1337.28,600786.92,1144.36,14.43,PKG : แพ็ค,
2020-01-24,2020-01-24,DO-0012/1013,ลูกค้าต่างประเทศ,2020-02-25,สินค้า_7,799,1754043.04,2195.3,1136217.6,1422.05,35.22,PKG : แพ็ค,
2020-01-24,2020-01-24,DO-0002/6873,ลูกค้าเงินสด,2020-12-05,สินค้า_1,730,1025913.8,1405.36,743048.87,1017.88,27.57,UNIT : ขวด,
2020-01-24,2020-01-24,DO-0007/4477,ลูกค้าเงินสด,2020-11-09,สินค้า_3,113,431905.09,3822.17,350104.87,3098.27,18.94,G : กรัม,
2020-01-25,2020-01-25,DO-0001/2998,ลูกค้าต่างประเทศ,2020-06-15,สินค้า_3,20,36970.35,1848.52,33203.76,1660.19,10.19,PKG : แพ็ค,
2020-01-25,2020-01-25,DO-0001/5320,ลูกค้าต่างประเทศ,2020-04-07,สินค้า_2,100,36603.19,366.03,27762.04,277.62,24.15,PKG : แพ็ค,
2020-01-25,2020-01-25,DO-0009/0205,ลูกค้าเงินสด,2020-08-01,สินค้า_6,649,1846925.59,2845.8,1306075.92,2012.44,29.28,G : กรัม,
2020-01-25,2020-01-25,DO-0010/1397,ลูกค้าเงินสด,2020-05-15,สินค้า_6,943,4313854.78,4574.61,3384496.87,3589.07,21.54,PKG : แพ็ค,
2020-01-25,2020-01-25,DO-0011/0541,ลูกค้าเงินสด,2020-04-15,สินค้า_5,487,494962.54,1016.35,431305.5,885.64,12.86,G : กรัม,
2020-01-26,2020-01-26,DO-0009/4304,ลูกค้าเงินสด,2020-05-30,สินค้า_7,360,1140693.88,3168.59,781313.12,2170.31,31.51,G : กรัม,
2020-01-26,2020-01-26,DO-0005/7500,ลูกค้าสัญญา,2020-08-17,สินค้า_6,890,1791686.49,2013.13,1521826.92,1709.92,15.06,UNIT : ขวด,
2020-01-26,2020-01-26,DO-0011/8805,ลูกค้าสัญญา,2020-02-01,สินค้า_8,921,2022889.81,2196.41,1243592.11,1350.26,38.52,UNIT : ขวด,
2020-01-26,2020-01-26,DO-0011/6750,ลูกค้าเงินสด,2020-10-21,สินค้า_6,474,470101.49,991.78,314448.75,663.39,33.11,PKG : แพ็ค,
2020-01-26,2020-01-26,DO-0007/3500,ลูกค้าเงินสด,2020-08-24,สินค้า_10,838,2730362.16,3258.19,2007710.92,2395.84,26.47,PKG : แพ็ค,
2020-01-26,2020-01-26,DO-0001/0737,ลูกค้าต่างประเทศ,2020-08-28,สินค้า_5,122,500896.99,4105.71,364205.93,2985.29,27.29,UNIT : ขวด,
2020-01-27,2020-01-27,DO-0009/9643,ลูกค้าเงินสด,2020-10-09,สินค้า_7,29,76339.24,2632.39,65472.88,2257.69,14.23,PKG : แพ็ค,
2020-01-27,2020-01-27,DO-0003/7018,ลูกค้าสัญญา,2020-08-14,สินค้า_5,305,997409.55,3270.2,835570.73,2739.58,16.23,G : กรัม,
2020-01-27,2020-01-27,DO-0012/7890,ลูกค้าสัญญา,2020-05-02,สินค้า_10,765,2728108.96,3566.16,1878783.78,2455.93,31.13,G : กรัม,
2020-01-27,2020-01-27,DO-0008/2899,ลูกค้าเงินสด,2020-08-02,สินค้า_6,562,1842630.25,3278.7,1509709.02,2686.31,18.07,G : กรัม,
2020-01-27,2020-01-27,DO-0004/1000,ลูกค้าสัญญา,2020-08-25,สินค้า_5,728,3162429.91,4344.0,2115049.06,2905.29,33.12,PKG : แพ็ค,
2020-01-28,2020-01-28,DO-0003/3512,ลูกค้าต่างประเทศ,2020-03-05,สินค้า_8,60,96997.33,1616.62,60468.55,1007.81,37.66,G : กรัม,
2020-01-28,2020-01-28,DO-0005/5992,ลูกค้าต่างประเทศ,2020-06-11,สินค้า_9,145,588266.04,4057.01,450261.36,3105.25,23.46,UNIT : ขวด,
2020-01-28,2020-01-28,DO-0001/9514,ลูกค้าเงินสด,2020-07-02,สินค้า_10,63,185459.77,2943.81,130260.71,2067.63,29.76,UNIT : ขวด,
2020-01-28,2020-01-28,DO-0006/9952,ลูกค้าสัญญา,2020-07-23,สินค้า_10,691,3346188.47,4842.53,2475567.09,3582.59,26.02,G : กรัม,
2020-01-28,2020-01-28,DO-0005/7523,ลูกค้าเงินสด,2021-01-22,สินค้า_8,338,887880.26,2626.86,733069.61,2168.84,17.44,UNIT : ขวด,
2020-01-28,2020-01-28,DO-0009/8167,ลูกค้าต่างประเทศ,2020-12-25,สินค้า_7,184,198114.71,1076.71,121491.79,660.28,38.68,G : กรัม,
2020-01-29,2020-01-29,DO-0003/1333,ลูกค้าต่างประเทศ,2020-02-25,สินค้า_2,552,270835.75,490.64,185944.87,336.86,31.34,PKG : แพ็ค,
2020-01-29,2020-01-29,DO-0002/9895,ลูกค้าต่างประเทศ,2020-06-19,สินค้า_2,50,65437.47,1308.75,55251.45,1105.03,15.57,UNIT : ขวด,
